Temperature,Humidity,Moisture,Soil_Type,Crop,Nitrogen,Phosphorus,Potassium,pH,pH_Status,Moisture_Status,N_Status,P_Status,K_Status,Primary_Fertilizer,Secondary_Fertilizer,Organic_1,Organic_2,Organic_3,pH_Amendment,Moisture_Action,Model_Prediction
27.78,46.49,53.92,Clayey,Groundnut,85,72,56,6.76,Optimal,Optimal,Optimal,Optimal,Optimal,DAP,SSP,FYM,Rock phosphate,Banana compost,Maintain pH,Maintain moisture,DAP
27.76,38.83,18.27,Clayey,Sugarcane,111,26,9,5.4,Acidic,Deficient,Excess,Deficient,Deficient,MOP,DAP,Bone meal,Banana trash compost,Green manure,Lime,Continuous irrigation,MOP
21.01,45.15,63.74,Loamy,Tea,17,46,15,6.3,Optimal,Optimal,Deficient,Optimal,Deficient,Ammonium Sulphate,SOP,Vermicompost,Wood ash,Rock phosphate,Maintain pH,Maintain moisture,Ammonium Sulphate
24.45,67.14,24.13,Loamy,Maize,57,7,169,6.79,Optimal,Deficient,Optimal,Deficient,Excess,SSP,MOP,Rock phosphate,Green manure,Rock phosphate,Maintain pH,Irrigation,SSP
27.5,42.46,76.43,Sandy,Wheat,15,40,177,5.81,Acidic,Excess,Deficient,Optimal,Excess,Urea,SOP,Mustard cake,Wood ash,Azotobacter,Lime,Drainage,Urea
25.47,38.1,72.55,Sandy,Soybean,6,92,127,7.45,Optimal,Excess,Deficient,Excess,Excess,DAP starter,MOP,Rhizobium inoculation,Rhizobium inoculation,Wood ash,Maintain pH,Drainage,DAP starter
15.33,71.05,77.7,Sandy,Tea,32,8,52,7.2,Optimal,Excess,Deficient,Deficient,Optimal,Urea,Rock Phosphate,Mustard cake,Rock phosphate,Wood ash,Maintain pH,Drainage,Urea
14.1,72.57,17.0,Sandy,Tea,50,70,120,6.68,Optimal,Deficient,Optimal,Optimal,Optimal,DAP,SOP,Wood ash,Wood ash,Vermicompost,Maintain pH,Irrigation,DAP
21.09,47.5,75.04,Sandy,Soybean,23,94,115,8.21,Alkaline,Excess,Deficient,Excess,Optimal,DAP starter,MOP,Rhizobium inoculation,Vermicompost,Bone meal,Gypsum,Drainage,DAP starter
30.84,87.65,82.94,Sandy,Sugarcane,73,30,84,6.65,Optimal,Excess,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,Banana trash compost,Banana trash compost,Maintain pH,Drainage,SSP
28.08,69.11,29.77,Clayey,Soybean,45,6,140,5.98,Acidic,Deficient,Optimal,Deficient,Excess,DAP,SSP,Rock phosphate,Rhizobium inoculation,Rhizobium inoculation,Lime,Irrigation,DAP
22.5,51.33,37.68,Clayey,Wheat,73,71,75,5.49,Acidic,Optimal,Optimal,Optimal,Optimal,DAP,MOP,Vermicompost,Mustard cake,Azotobacter,Lime,Maintain moisture,DAP
18.15,37.79,65.08,Sandy,Maize,11,45,30,6.89,Optimal,Optimal,Deficient,Optimal,Deficient,Urea,SOP,Green manure,Wood ash,FYM,Maintain pH,Maintain moisture,Urea
30.46,89.65,54.78,Sandy,Rice,86,16,164,7.14,Optimal,Optimal,Optimal,Deficient,Excess,TSP,SSP,Rock phosphate,Bone meal,Vermicompost,Maintain pH,Maintain moisture,TSP
19.64,49.75,57.33,Sandy,Coffee,20,60,172,6.85,Optimal,Optimal,Deficient,Optimal,Excess,Ammonium Sulphate,SOP,Compost,Compost,Wood ash,Maintain pH,Maintain moisture,Ammonium Sulphate
24.72,45.16,72.3,Clayey,Rice,9,10,82,5.42,Acidic,Excess,Deficient,Deficient,Optimal,Ammonium Sulphate,SSP,Azolla,Rock phosphate,FYM,Lime,Drainage,Ammonium Sulphate
23.61,67.95,35.11,Clayey,Wheat,91,69,153,6.16,Optimal,Optimal,Optimal,Optimal,Excess,DAP,MOP,Vermicompost,Poultry manure,Wood ash,Maintain pH,Maintain moisture,DAP
28.27,37.43,61.37,Loamy,Groundnut,13,51,104,6.88,Optimal,Optimal,Deficient,Optimal,Optimal,Ammonium Sulphate,MOP,Neem cake,Wood ash,Rock phosphate,Maintain pH,Maintain moisture,Ammonium Sulphate
21.08,35.06,34.42,Loamy,Soybean,103,94,2,6.61,Optimal,Optimal,Excess,Excess,Deficient,MOP,DAP,Banana peel compost,FYM,Banana peel compost,Maintain pH,Maintain moisture,MOP
26.15,59.12,24.16,Sandy,Soybean,74,50,73,7.03,Optimal,Deficient,Optimal,Optimal,Optimal,DAP,SSP,Banana peel compost,Wood ash,Banana peel compost,Maintain pH,Irrigation,DAP
17.57,83.33,19.47,Clayey,Coffee,0,56,23,5.41,Acidic,Deficient,Deficient,Optimal,Deficient,Urea,SOP,Compost,Wood ash,Rock phosphate,Lime,Irrigation,Urea
34.61,91.63,67.71,Loamy,Cotton,54,13,95,6.28,Optimal,Optimal,Optimal,Deficient,Optimal,SSP,MOP,Rock phosphate,FYM,FYM,Maintain pH,Maintain moisture,SSP
